smiles,selfies,reward,eint_pred
ClC(N=NOON(Cl)Br)[N+]Br,[=N+1][=Branch1][SiH3][Br][C][Branch1][N][#N][#N][Branch1][=O][O][#N][=Branch1][#N][Cl][Br][=C][Ring1][#N][Cl][=N+1][Ring1][Ring2][Cl][=Branch1][Ring2][F][Ring1][=Branch1][=Branch1][Ring1][Branch1][Cl][F],-29.275178062499908,55.36424999999999
FN(C=NCl)CC=CBr,[Cl][#N][Ring2][=C][Branch1][=Branch1][=C][Ring1][SiH3][N][Branch1][=Branch1][=C][C][=C][Br][N][F],-64.21123080249592,57.994449999999745
BrOBr,[Br][O][Br][Cl][Br][C][SiH3][=C][O-1][Cl][Ring1][Ring1][Ring2][=O][SiH3][=C][Br][O-1][=Branch1][F][O][O][=N+1][O][Br][Br][=O][Ring2][=N+1][C][=Branch1][=C][C][#N][SiH3][F][=C][O-1][N][Branch1][=C][F][N][Branch1],-119.19235212561858,60.917524999999706
BrOBr,[Br][O][Br][=N+1][=N+1][Cl][Ring2][Ring2][Cl][Br][=Branch1][F][Cl][O-1][Br][N][=C][C][Cl][=O][Ring1][O][N][C][N][Ring2][=C][O][Ring2][Ring1][SiH3][#N][Ring2][N][O-1][SiH3][SiH3][Ring1][C][Ring2][O-1],-119.19235212561858,60.917524999999706
[O-]CC(Br)Br,[Br][C][=Branch1][N][Br][O][#N][Br][C][SiH3][Ring1][Cl][=C][O][F][=C][O-1][C][Br][=O][=O][=N+1],-122.56133575062805,61.06622500000014
BrNBr,[Br][N][Br][F][Branch1][=C][O-1][F][#N][O-1][O][Br][Cl][Br][O][N][O][Cl][Ring2][O][O][N][=O][C][O][Cl][F][Branch1][F][SiH3][O-1][F][Ring2],-124.82140452249686,61.17234999999986
ClN=NCBr,[Br][=C][N][#N][Cl][N][O][Ring1][=O][C][#N][N][O][O-1][Ring1][SiH3],-126.71369267562893,61.252275000000175
BrBr,[Br][Br][Cl][C][=N+1][Cl][N][O][#N][=C][=O][#N][N][=Branch1][=C][=Branch1][SiH3][C][#N][N][O][Cl][=C][=N+1][O][O][O][#N][O-1][Br][O][=C][SiH3][Ring1][Ring2][C][=N+1][Ring2][Cl][=O][=Branch1][C][O-1][Ring2][F][Branch1][O-1],-130.25143320063174,61.412775000000295
BrBr,[Br][Br][=C][O-1][Ring1][#N][=Branch1][C][Br][C][Ring2][O][Ring2][Ring2][Br][Br][Ring1][=C][=C][F][=N+1][Cl][F][Br][C][=C][C][C][Ring2][Branch1],-130.25143320063188,61.4127750000003
BrBr,[Br][=Branch1][Br][Br][SiH3][F][N][=N+1][F][=C][SiH3][Ring2][#N][C][Ring1][SiH3][C][F][O-1][O][F][Br][Ring1][Ring1][O][O-1][=Branch1][Cl][Ring1],-130.25143320063188,61.4127750000003
