Source,Type,System,DV_N (kcal/mol),DV_C (kcal/mol),E_int_calc (kcal/mol),E_int_pred_eq5 (kcal/mol),E_int_pred_eq7 (kcal/mol),E_int_eq8_mono (kcal/mol),E_int_eq8_di (kcal/mol),E_int_eq8_tetra (kcal/mol)
Table1,Ligand (complexed to Mo(CO)4),"3,8-Br2-phen",,,55.0,,,,,
Table1,Ligand (complexed to Mo(CO)4),"4,7-Cl2-phen",,,56.9,,,,,
Table1,Ligand (complexed to Mo(CO)4),"4,7-Me2-phen",,,60.2,,,,,
Table1,Ligand (complexed to Mo(CO)4),"5,6-Me2-phen",,,59.9,,,,,
Table1,Ligand (complexed to Mo(CO)4),5-Br-phen,,,57.7,,,,,
Table1,Ligand (complexed to Mo(CO)4),5-Cl-phen,,,57.7,,,,,
Table1,Ligand (complexed to Mo(CO)4),5-Me-phen,,,59.3,,,,,
Table1,Ligand (complexed to Mo(CO)4),5-NH2-phen,,,59.7,,,,,
Table1,Ligand (complexed to Mo(CO)4),5-NO2-phen,,,56.2,,,,,
Table1,Ligand (complexed to Mo(CO)4),Bathophen,,,60.2,,,,,
Table1,Ligand (complexed to Mo(CO)4),Br4-phen,,,52.6,,,,,
Table1,Ligand (complexed to Mo(CO)4),phen,,,58.9,,,,,
Table1,Ligand (complexed to Mo(CO)4),tmphen,,,61.0,,,,,
Table2_eq5,Ligand (DV_N-based prediction),"2,9-(CHQCH2)2",1.6,,,59.5,,,,
Table2_eq5,Ligand (DV_N-based prediction),"2,9-(CN)2",24.8,,,50.9,,,,
Table2_eq5,Ligand (DV_N-based prediction),"2,9-(OCF3)2",16.1,,,53.7,,,,
Table2_eq5,Ligand (DV_N-based prediction),2-CHO,6.7,,,56.7,,,,
Table2_eq5,Ligand (DV_N-based prediction),2-CHQCH2,0.7,,,59.1,,,,
Table2_eq5,Ligand (DV_N-based prediction),2-CN,12.7,,,54.8,,,,
Table2_eq5,Ligand (DV_N-based prediction),2-NO2,15.7,,,53.8,,,,
Table2_eq5,Ligand (DV_N-based prediction),2-OCF3,8.4,,,56.2,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,4-(CHO)2",12.4,,,54.9,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,4-(NO2)2",21.5,,,51.9,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,4-(OH)2",1.6,,,59.4,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,4-(OMe)2",3.4,,,60.0,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,4-(SiH3)2",2.4,,,58.1,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,4-7,8-(CHO)4",25.1,,,50.8,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,4-7,8-(NO2)4",41.0,,,45.6,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,4-7,8-(SiH3)4",4.5,,,57.5,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,8-(CHO)2",15.1,,,54.0,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,8-(NO2)2",26.5,,,50.3,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,8-(SiH3)2",2.9,,,58.0,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,8-CN,CHQCH2",10.2,,,55.6,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,8-NO2,CHO",19.7,,,52.5,,,,
Table2_eq5,Ligand (DV_N-based prediction),"3,8-OCF3,SiH3",6.1,,,56.9,,,,
Table2_eq5,Ligand (DV_N-based prediction),3-CHO,7.6,,,56.5,,,,
Table2_eq5,Ligand (DV_N-based prediction),3-CHQCH2,0.6,,,58.7,,,,
