system,smiles,sites,substituents,base_smiles,n_subs,dv_c_sum,notes
2-CN-phen,C#N.c1cnc2c(c1)ccc1cccnc12,2,CN,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,18.00,
2-CHO-phen,C=O.c1cnc2c(c1)ccc1cccnc12,2,CHO,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,13.80,
2-OCF3-phen,OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,2,OCF3,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
2-Cl-phen,Cl.c1cnc2c(c1)ccc1cccnc12,2,Cl,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
2-Br-phen,Br.c1cnc2c(c1)ccc1cccnc12,2,Br,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
2-NH2-phen,N.c1cnc2c(c1)ccc1cccnc12,2,NH2,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,9.00,
2-OMe-phen,CO.c1cnc2c(c1)ccc1cccnc12,2,OMe,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,5.00,
2-Me-phen,C.c1cnc2c(c1)ccc1cccnc12,2,Me,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
2-Et-phen,CC.c1cnc2c(c1)ccc1cccnc12,2,Et,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,4.00,
3-CN-phen,C#N.c1cnc2c(c1)ccc1cccnc12,3,CN,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,18.00,
3-CHO-phen,C=O.c1cnc2c(c1)ccc1cccnc12,3,CHO,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,13.80,
3-OCF3-phen,OC(F)(F)F.c1cnc2c(c1)ccc1cccnc12,3,OCF3,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
3-Cl-phen,Cl.c1cnc2c(c1)ccc1cccnc12,3,Cl,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
3-Br-phen,Br.c1cnc2c(c1)ccc1cccnc12,3,Br,C1=CC2=C(C3=C(C=CC=N3)C=C2)N=C1,1,,
