Substituent,Pyrene,,Butadiene,,Butadiyne,
Combination,ΔVC(pred),ΔVC(cal),ΔVC(pred),ΔVC(cal),ΔVC(pred),ΔVC(cal)
"NO2,NO2",50.8,51.7,58.6,62.4,61.7,65.2
"NC,NC",41.4,41.8,44.2,46.1,47.9,49.7
"CHO,CHO",16.2,16.7,20.2,18.0,18.1,19.5
"Cl,Cl",44.0,44.1,40.2,40.7,27.6,27.5
"OH,OH",40.6,40.6,25.6,25.6,20.7,20.3
"Me,Me",3.9,3.9,-5.2,-5.6,-16.4,-17.2
"OMe,OMe",37.0,37.0,28.6,27.6,13.5,11.9
"NH2,NH2",23.0,22.9,9.2,7.8,-5.5,-6.0
"NO2,NC",49.5,50.2,54.3,63.5,58.6,62.6
"Cl,OH",45.2,45.1,26.8,33.4,18.1,17.6
"Me,NH2",25.3,25.2,13.9,21.2,-22.5,-23.9
"NC,Me",14.4,14.5,14.8,21.2,16.5,17.0
"CHO,OMe",45.8,45.6,51.0,52.1,-7.9,-8.0
